248	189	232	151	208	192
371	187	345	144	327	184
313	263	278	233	272	262
312	343	289	310	282	350
261	316	241	290	231	332
361	313	337	289	329	324
312	153	283	119	265	153
180	110	175	61	147	134
426	97	407	40	376	116
310	397	293	374	291	417
200	324	197	273	174	350
173	213	175	185	148	275
413	319	404	282	388	335
434	213	424	196	401	250
219	54	179	31	178	59
379	48	402	17	317	48
146	167	154	156	109	243
456	162	454	144	427	213
1	0	3	0	3	2
599	1	597	1	599	3
599	449	597	446	598	447
1	449	2	448	2	447
305	0	291	0	291	3
598	201	598	191	599	197
311	449	310	447	317	447
0	223	3	206	2	197

